
=== [2026-06-11T00:19:20Z] v14d_binary_v2_a_p0i7_lr_peak_4e-05_4ecaf5402d phase=a kind=probe chunk=400 env={"ORBITWARS_SHAPING_HOLD_BONUS": 0.004, "ORBITWARS_SHAPING_CAPTURE": 0.04, "ORBITWARS_SHAPING_RELEASE": 0.012, "ORBITWARS_SHAPING_RELEASE_K": 17.0, "ORBITWARS_SHAPING_PROD_SHARE_DELTA": 0.025, "ORBITWARS_SHAPING_ONE_SHIP_PENALTY": 0.04} ppo={"ent_coef_emit": 0.006, "lr_peak": 4e-05} ===
[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.025 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.012/K17.0 CAPTURE=0.04; episode_steps=500 (kaggle=500, mismatch=False)
[symmetric] Frog Parade style: same params drive BOTH players, no frozen/strong/buffer opponents, zero_sum_value=True
upd   23  steps   49152  sps 710  opp symm  loss -0.051  pg -0.0369  v 0.006  ev +0.96  adv_std 0.099  tR -0.50  ent[s/d/p/e] 1.89/2.51/1.35/0.47  emits 0.24  spf 116.1  z0 0.81  garr 130.7  tG 978  e2 0.04  nF 2.4  pS 0.35  ptS 0.32  fLog 0.69  pdΔ -0.1533  pkR 3.11  clip 0.06  kl +0.001
upd   24  steps   51200  sps 732  opp symm  loss -0.037  pg -0.0214  v 0.004  ev +0.97  adv_std 0.084  tR -1.00  ent[s/d/p/e] 1.95/2.55/1.34/0.50  emits 0.29  spf 114.9  z0 0.79  garr 134.2  tG 1025  e2 0.05  nF 2.6  pS 0.36  ptS 0.34  fLog 0.69  pdΔ -0.1382  pkR 3.03  clip 0.07  kl +0.002
upd   25  steps   53248  sps 755  opp symm  loss -0.032  pg -0.0179  v 0.007  ev +0.96  adv_std 0.102  tR +1.00  ent[s/d/p/e] 1.92/2.50/1.35/0.51  emits 0.30  spf 115.8  z0 0.78  garr 137.5  tG 1096  e2 0.06  nF 2.7  pS 0.37  ptS 0.34  fLog 0.68  pdΔ -0.1325  pkR 3.42  clip 0.11  kl +0.002
upd   26  steps   55296  sps 777  opp symm  loss -0.092  pg -0.0766  v 0.004  ev +0.97  adv_std 0.085  tR +0.33  ent[s/d/p/e] 1.84/2.50/1.40/0.47  emits 0.21  spf 131.2  z0 0.83  garr 148.6  tG 1185  e2 0.04  nF 2.2  pS 0.36  ptS 0.34  fLog 0.71  pdΔ -0.1420  pkR 3.57  clip 0.03  kl +0.002
upd   27  steps   57344  sps 798  opp symm  loss -0.033  pg -0.0185  v 0.005  ev +0.96  adv_std 0.092  tR +0.00  ent[s/d/p/e] 1.95/2.50/1.35/0.50  emits 0.27  spf 129.2  z0 0.80  garr 155.5  tG 1298  e2 0.05  nF 2.1  pS 0.37  ptS 0.35  fLog 0.71  pdΔ -0.1297  pkR 3.13  clip 0.05  kl +0.003
upd   28  steps   59392  sps 819  opp symm  loss +0.005  pg +0.0205  v 0.005  ev +0.98  adv_std 0.086  tR +0.00  ent[s/d/p/e] 1.98/2.52/1.33/0.52  emits 0.29  spf 135.5  z0 0.79  garr 156.5  tG 1363  e2 0.06  nF 2.5  pS 0.39  ptS 0.38  fLog 0.72  pdΔ -0.1075  pkR 3.22  clip 0.07  kl +0.003
upd   29  steps   61440  sps 840  opp symm  loss -0.022  pg -0.0080  v 0.006  ev +0.97  adv_std 0.112  tR +0.00  ent[s/d/p/e] 1.97/2.53/1.33/0.48  emits 0.27  spf 139.4  z0 0.80  garr 158.0  tG 1399  e2 0.04  nF 2.3  pS 0.39  ptS 0.38  fLog 0.73  pdΔ -0.1112  pkR 3.48  clip 0.04  kl +0.002
upd   30  steps   63488  sps 860  opp symm  loss -0.007  pg +0.0052  v 0.009  ev +0.96  adv_std 0.125  tR +0.00  ent[s/d/p/e] 1.94/2.51/1.31/0.50  emits 0.26  spf 135.7  z0 0.80  garr 157.5  tG 1418  e2 0.05  nF 2.2  pS 0.39  ptS 0.38  fLog 0.71  pdΔ -0.1118  pkR 3.45  clip 0.04  kl +0.002
upd   31  steps   65536  sps 880  opp symm  loss +0.001  pg +0.0058  v 0.020  ev +0.81  adv_std 0.200  tR +0.10  ent[s/d/p/e] 1.15/2.24/1.37/0.42  emits 0.19  spf 73.1  z0 0.85  garr 81.2  tG 518  e2 0.03  nF 1.5  pS 0.19  ptS 0.18  fLog 0.61  pdΔ -0.3076  pkR 7.55  clip 0.05  kl +0.001
upd   32  steps   67584  sps 900  opp symm  loss -0.020  pg -0.0108  v 0.012  ev +0.89  adv_std 0.151  tR +0.00  ent[s/d/p/e] 1.21/2.36/1.36/0.41  emits 0.21  spf 70.9  z0 0.83  garr 86.1  tG 487  e2 0.03  nF 2.1  pS 0.20  ptS 0.19  fLog 0.62  pdΔ -0.2997  pkR 6.73  clip 0.05  kl +0.000
upd   33  steps   69632  sps 919  opp symm  loss -0.032  pg -0.0208  v 0.010  ev +0.93  adv_std 0.140  tR +1.00  ent[s/d/p/e] 1.40/2.45/1.43/0.46  emits 0.22  spf 76.7  z0 0.82  garr 97.9  tG 605  e2 0.03  nF 2.2  pS 0.24  ptS 0.23  fLog 0.64  pdΔ -0.2633  pkR 7.59  clip 0.04  kl +0.001
upd   34  steps   71680  sps 938  opp symm  loss -0.004  pg +0.0077  v 0.009  ev +0.95  adv_std 0.126  tR -0.33  ent[s/d/p/e] 1.48/2.43/1.40/0.47  emits 0.22  spf 85.4  z0 0.82  garr 107.2  tG 695  e2 0.04  nF 2.1  pS 0.26  ptS 0.25  fLog 0.65  pdΔ -0.2404  pkR 6.84  clip 0.05  kl +0.002
