[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.006 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0/K20.0 CAPTURE=0.0; ANTI_HOARD=0.02/thresh0.55; episode_steps=500 (kaggle=500, mismatch=False); wins_needed=1 (multi-match=off)
[curriculum] strong_ratio=0.25 frozen_ratio=0.25 strong_ckpt=./ckpt_multi_action_v29_aim/ckpt_003999.pkl
[gated-pool] seed_paths=./ckpt_multi_action_v29_aim/ckpt_003999.pkl snapshot_current=True
[resume] loaded params from ./ckpt_multi_action_v30b_warm/ckpt_warm.pkl (step=400)
[shape-adapter] kept target init for 4 new tensor(s) (e.g. dst_economics_head/...)
[curriculum] shape-adapted strong opponent from ./ckpt_multi_action_v29_aim/ckpt_003999.pkl
[shape-adapter] kept target init for 4 new tensor(s) (e.g. dst_economics_head/...)
[gated-pool] shape-adapted seed opponent ./ckpt_multi_action_v29_aim/ckpt_003999.pkl
upd   22  steps   47104  sps 615  opp frzn  loss +146541792.000  pg +0.0063  v 0.021  ev +0.99  adv_std 0.207  tR +1.00  ent[s/d/p/e] 1.89/0.96/1.03/0.25  emits 2.12  spf 24.6  z0 0.34  garr 46.0  tG 467  e2 0.62  nF 24.9  pS 0.40  ptS 0.39  fLog 0.48  pdΔ -0.0953  pkR 7.82  clip 0.17  kl +0.003  klR 0.000  klC 0.000 align[spf 20.9 e2 0.65 z0 0.30 n=14]
upd   23  steps   49152  sps 638  opp frzn  loss +137261296.000  pg -0.0044  v 0.016  ev +0.99  adv_std 0.183  tR +0.00  ent[s/d/p/e] 1.90/1.00/1.06/0.26  emits 1.96  spf 24.1  z0 0.36  garr 46.2  tG 437  e2 0.60  nF 23.4  pS 0.39  ptS 0.38  fLog 0.48  pdΔ -0.1059  pkR 7.23  clip 0.23  kl +0.006  klR 0.000  klC 0.000 align[spf 21.1 e2 0.65 z0 0.31 n=15]
upd   24  steps   51200  sps 662  opp rand  loss +150735184.000  pg +0.0018  v 0.013  ev +0.99  adv_std 0.164  tR +0.00  ent[s/d/p/e] 1.94/1.00/1.08/0.27  emits 2.15  spf 22.8  z0 0.33  garr 48.0  tG 454  e2 0.63  nF 26.0  pS 0.42  ptS 0.40  fLog 0.47  pdΔ -0.0804  pkR 5.54  clip 0.16  kl +0.004  klR 0.000  klC 0.000 align[spf 21.1 e2 0.65 z0 0.31 n=15]
upd   25  steps   53248  sps 685  opp strn  loss +130751776.000  pg -0.0009  v 0.013  ev +0.99  adv_std 0.165  tR +1.00  ent[s/d/p/e] 1.89/0.98/1.05/0.28  emits 2.04  spf 21.8  z0 0.31  garr 48.4  tG 483  e2 0.65  nF 27.1  pS 0.43  ptS 0.42  fLog 0.47  pdΔ -0.0682  pkR 6.82  clip 0.17  kl +0.004  klR 0.000  klC 0.000 align[spf 21.1 e2 0.65 z0 0.31 n=16]
upd   26  steps   55296  sps 708  opp rand  loss +135587184.000  pg +0.0238  v 0.019  ev +0.99  adv_std 0.202  tR +1.00  ent[s/d/p/e] 1.92/0.98/1.07/0.29  emits 2.03  spf 20.6  z0 0.33  garr 48.8  tG 504  e2 0.63  nF 24.3  pS 0.43  ptS 0.41  fLog 0.46  pdΔ -0.0700  pkR 9.05  clip 0.23  kl +0.006  klR 0.000  klC 0.000 align[spf 21.1 e2 0.65 z0 0.31 n=16]
upd   27  steps   57344  sps 731  opp rand  loss +145677808.000  pg +0.0031  v 0.015  ev +0.99  adv_std 0.178  tR +1.00  ent[s/d/p/e] 1.96/1.04/1.04/0.27  emits 2.27  spf 20.5  z0 0.27  garr 46.2  tG 496  e2 0.70  nF 28.0  pS 0.47  ptS 0.45  fLog 0.46  pdΔ -0.0344  pkR 7.11  clip 0.19  kl +0.006  klR 0.000  klC 0.000 align[spf 21.1 e2 0.65 z0 0.31 n=16]
upd   28  steps   59392  sps 753  opp frzn  loss +118198816.000  pg -0.0268  v 0.011  ev +1.00  adv_std 0.149  tR +0.71  ent[s/d/p/e] 1.94/1.02/1.04/0.29  emits 2.14  spf 20.4  z0 0.30  garr 50.3  tG 581  e2 0.67  nF 29.1  pS 0.47  ptS 0.45  fLog 0.46  pdΔ -0.0288  pkR 4.88  clip 0.11  kl +0.003  klR 0.000  klC 0.000 align[spf 21.1 e2 0.65 z0 0.31 n=17]
upd   29  steps   61440  sps 775  opp rand  loss +120386728.000  pg +0.0037  v 0.015  ev +0.99  adv_std 0.178  tR +1.00  ent[s/d/p/e] 1.97/0.96/1.10/0.29  emits 1.98  spf 21.4  z0 0.33  garr 50.1  tG 557  e2 0.62  nF 25.6  pS 0.44  ptS 0.42  fLog 0.47  pdΔ -0.0645  pkR 6.37  clip 0.11  kl +0.001  klR 0.000  klC 0.000 align[spf 21.1 e2 0.65 z0 0.31 n=17]
upd   30  steps   63488  sps 798  opp rand  loss +127040680.000  pg +0.0171  v 0.012  ev +1.00  adv_std 0.158  tR +1.00  ent[s/d/p/e] 1.95/0.98/1.08/0.28  emits 1.94  spf 20.4  z0 0.32  garr 44.1  tG 468  e2 0.64  nF 25.0  pS 0.44  ptS 0.42  fLog 0.46  pdΔ -0.0624  pkR 7.62  clip 0.19  kl -0.000  klR 0.000  klC 0.000 align[spf 21.1 e2 0.65 z0 0.31 n=17]
upd   31  steps   65536  sps 819  opp strn  loss +94270888.000  pg +0.0171  v 0.071  ev +0.98  adv_std 0.381  tR +0.14  ent[s/d/p/e] 1.72/1.00/0.92/0.25  emits 1.57  spf 18.2  z0 0.46  garr 31.4  tG 257  e2 0.47  nF 19.4  pS 0.31  ptS 0.29  fLog 0.45  pdΔ -0.1895  pkR 8.34  clip 0.19  kl +0.005  klR 0.000  klC 0.000 align[spf 20.9 e2 0.64 z0 0.32 n=18]
