upd   22  steps   47104  sps 638  opp rand  loss -0.164  pg -0.1620  v 0.002  ev +0.97  adv_std 0.051  tR -1.00  ent[s/d/p/e] 1.24/2.90/0.43/0.61  emits 0.88  spf 21.7  z0 0.52  garr 46.0  tG 261  e2 0.20  nF 13.8  pS 0.20  ptS 0.19  fLog 0.37  pdΔ -0.3002  pkR 15.31  clip 0.29  kl +0.010 align[spf 27.2 e2 0.09 z0 0.65 n=10]
upd   23  steps   49152  sps 662  opp frzn  loss -0.150  pg -0.1476  v 0.001  ev +0.98  adv_std 0.048  tR -1.00  ent[s/d/p/e] 1.27/2.89/0.42/0.60  emits 0.88  spf 20.1  z0 0.55  garr 50.3  tG 283  e2 0.19  nF 15.7  pS 0.21  ptS 0.20  fLog 0.37  pdΔ -0.2947  pkR 13.05  clip 0.37  kl +0.022 align[spf 26.6 e2 0.10 z0 0.64 n=11]
upd   24  steps   51200  sps 687  opp rand  loss -0.100  pg -0.0978  v 0.002  ev +0.97  adv_std 0.060  tR -0.50  ent[s/d/p/e] 1.26/2.89/0.42/0.61  emits 0.99  spf 24.3  z0 0.51  garr 46.0  tG 276  e2 0.23  nF 16.0  pS 0.20  ptS 0.19  fLog 0.38  pdΔ -0.2973  pkR 14.62  clip 0.28  kl +0.009 align[spf 26.6 e2 0.10 z0 0.64 n=11]
upd   25  steps   53248  sps 710  opp frzn  loss -0.115  pg -0.1129  v 0.002  ev +0.98  adv_std 0.052  tR +0.00  ent[s/d/p/e] 1.20/2.89/0.39/0.59  emits 1.09  spf 22.3  z0 0.48  garr 33.3  tG 213  e2 0.26  nF 17.5  pS 0.19  ptS 0.18  fLog 0.37  pdΔ -0.3102  pkR 20.06  clip 0.16  kl +0.006 align[spf 26.2 e2 0.12 z0 0.63 n=12]
upd   26  steps   55296  sps 734  opp frzn  loss -0.123  pg -0.1222  v 0.004  ev +0.97  adv_std 0.056  tR -0.67  ent[s/d/p/e] 1.08/2.89/0.34/0.58  emits 1.03  spf 14.0  z0 0.49  garr 25.4  tG 188  e2 0.26  nF 19.7  pS 0.17  ptS 0.16  fLog 0.33  pdΔ -0.3315  pkR 25.75  clip 0.17  kl +0.004 align[spf 25.3 e2 0.13 z0 0.62 n=13]
upd   27  steps   57344  sps 757  opp rand  loss -0.029  pg -0.0285  v 0.003  ev +0.96  adv_std 0.065  tR -0.64  ent[s/d/p/e] 0.93/2.89/0.25/0.56  emits 0.96  spf 13.8  z0 0.46  garr 19.5  tG 127  e2 0.23  nF 18.5  pS 0.15  ptS 0.15  fLog 0.32  pdΔ -0.3504  pkR 27.27  clip 0.30  kl +0.008 align[spf 25.3 e2 0.13 z0 0.62 n=13]
upd   28  steps   59392  sps 780  opp strn  loss -0.074  pg -0.0724  v 0.002  ev +0.98  adv_std 0.055  tR -1.00  ent[s/d/p/e] 0.94/2.90/0.28/0.56  emits 0.99  spf 11.0  z0 0.48  garr 20.5  tG 129  e2 0.23  nF 20.4  pS 0.15  ptS 0.15  fLog 0.31  pdΔ -0.3517  pkR 25.72  clip 0.17  kl -0.002 align[spf 24.3 e2 0.13 z0 0.61 n=14]
upd   29  steps   61440  sps 803  opp frzn  loss -0.116  pg -0.1157  v 0.004  ev +0.97  adv_std 0.071  tR -0.25  ent[s/d/p/e] 1.02/2.90/0.32/0.55  emits 0.91  spf 12.8  z0 0.56  garr 21.9  tG 113  e2 0.22  nF 18.7  pS 0.14  ptS 0.14  fLog 0.32  pdΔ -0.3648  pkR 34.15  clip 0.15  kl +0.001 align[spf 23.5 e2 0.14 z0 0.60 n=15]
upd   30  steps   63488  sps 825  opp strn  loss -0.130  pg -0.1295  v 0.005  ev +0.98  adv_std 0.062  tR -0.50  ent[s/d/p/e] 1.08/2.89/0.32/0.53  emits 0.91  spf 14.8  z0 0.58  garr 23.7  tG 111  e2 0.23  nF 16.7  pS 0.14  ptS 0.14  fLog 0.33  pdΔ -0.3580  pkR 31.48  clip 0.11  kl +0.005 align[spf 23.0 e2 0.15 z0 0.60 n=16]
upd   31  steps   65536  sps 847  opp strn  loss +0.004  pg +0.0032  v 0.007  ev +0.91  adv_std 0.103  tR -0.62  ent[s/d/p/e] 0.83/2.89/0.31/0.49  emits 0.78  spf 12.9  z0 0.61  garr 23.5  tG 56  e2 0.18  nF 12.3  pS 0.11  ptS 0.11  fLog 0.33  pdΔ -0.3887  pkR 25.49  clip 0.12  kl +0.006 align[spf 22.4 e2 0.15 z0 0.60 n=17]
upd   32  steps   67584  sps 869  opp strn  loss -0.060  pg -0.0586  v 0.002  ev +0.98  adv_std 0.060  tR -1.00  ent[s/d/p/e] 0.67/2.89/0.29/0.50  emits 0.82  spf 12.3  z0 0.55  garr 20.9  tG 51  e2 0.20  nF 13.9  pS 0.10  ptS 0.10  fLog 0.32  pdΔ -0.3966  pkR 9.80  clip 0.15  kl +0.006 align[spf 21.8 e2 0.15 z0 0.60 n=18]
upd   33  steps   69632  sps 891  opp rand  loss -0.030  pg -0.0290  v 0.004  ev +0.98  adv_std 0.058  tR -1.00  ent[s/d/p/e] 0.63/2.89/0.23/0.57  emits 1.08  spf 10.1  z0 0.40  garr 11.5  tG 39  e2 0.26  nF 18.2  pS 0.11  ptS 0.12  fLog 0.30  pdΔ -0.3870  pkR 13.77  clip 0.15  kl +0.002 align[spf 21.8 e2 0.15 z0 0.60 n=18]
upd   34  steps   71680  sps 913  opp strn  loss -0.045  pg -0.0461  v 0.007  ev +0.98  adv_std 0.062  tR -1.00  ent[s/d/p/e] 0.74/2.88/0.22/0.51  emits 1.19  spf 9.9  z0 0.37  garr 11.1  tG 50  e2 0.30  nF 24.2  pS 0.12  ptS 0.13  fLog 0.30  pdΔ -0.3768  pkR 14.61  clip 0.17  kl +0.005 align[spf 21.2 e2 0.16 z0 0.59 n=19]
