[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.0 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0/K20.0 CAPTURE=0.02; ANTI_HOARD=0.02/thresh0.55; episode_steps=500 (kaggle=500, mismatch=False); wins_needed=2 (multi-match=BO3)
[gated-pool] seed_paths=./ckpt_multi_action_v16a_capture/ckpt_003199.pkl snapshot_current=False
[shape-adapter] padded tensors:
  encoder/planet_proj/kernel: (39, 256) -> (63, 256)
  encoder/global_proj/kernel: (27, 256) -> (427, 256)
  emit_head/fc1/kernel: (527, 64) -> (532, 64)
  pct_head/fc1/kernel: (775, 128) -> (776, 128)
[gated-pool] shape-adapted seed opponent ./ckpt_multi_action_v16a_capture/ckpt_003199.pkl
upd   22  steps   47104  sps 667  opp rand  loss -0.062  pg -0.0624  v 0.009  ev +0.86  adv_std 0.086  tR -0.20  ent[s/d/p/e] 1.13/2.90/0.26/0.54  emits 1.20  spf 16.0  z0 0.35  garr 25.8  tG 258  e2 0.30  nF 25.5  pS 0.21  ptS 0.21  fLog 0.33  pdΔ -0.2920  pkR 11.49  clip 0.24  kl +0.008 align[spf 13.5 e2 0.24 z0 0.45 n=9]
upd   23  steps   49152  sps 692  opp rand  loss -0.058  pg -0.0568  v 0.007  ev +0.95  adv_std 0.051  tR -1.00  ent[s/d/p/e] 0.99/2.90/0.28/0.56  emits 1.06  spf 15.2  z0 0.37  garr 23.6  tG 239  e2 0.25  nF 23.0  pS 0.19  ptS 0.19  fLog 0.32  pdΔ -0.3135  pkR 16.97  clip 0.20  kl +0.005 align[spf 13.5 e2 0.24 z0 0.45 n=9]
upd   24  steps   51200  sps 717  opp frzn  loss -0.070  pg -0.0674  v 0.003  ev +0.90  adv_std 0.076  tR -0.60  ent[s/d/p/e] 0.97/2.90/0.32/0.52  emits 1.06  spf 12.9  z0 0.44  garr 23.0  tG 204  e2 0.24  nF 22.0  pS 0.16  ptS 0.17  fLog 0.31  pdΔ -0.3400  pkR 21.80  clip 0.15  kl +0.007 align[spf 13.4 e2 0.24 z0 0.45 n=10]
upd   25  steps   53248  sps 741  opp frzn  loss -0.125  pg -0.1233  v 0.004  ev +0.93  adv_std 0.070  tR -1.00  ent[s/d/p/e] 0.89/2.90/0.30/0.53  emits 0.94  spf 13.6  z0 0.49  garr 25.4  tG 209  e2 0.24  nF 20.2  pS 0.15  ptS 0.16  fLog 0.31  pdΔ -0.3484  pkR 16.01  clip 0.17  kl +0.005 align[spf 13.5 e2 0.24 z0 0.45 n=11]
upd   26  steps   55296  sps 766  opp frzn  loss -0.113  pg -0.1114  v 0.005  ev +0.90  adv_std 0.092  tR -0.75  ent[s/d/p/e] 0.89/2.90/0.27/0.49  emits 1.02  spf 11.5  z0 0.46  garr 31.1  tG 267  e2 0.25  nF 20.5  pS 0.16  ptS 0.17  fLog 0.30  pdΔ -0.3392  pkR 19.25  clip 0.16  kl +0.007 align[spf 13.3 e2 0.24 z0 0.45 n=12]
upd   27  steps   57344  sps 790  opp rand  loss -0.059  pg -0.0573  v 0.004  ev +0.91  adv_std 0.084  tR -0.80  ent[s/d/p/e] 0.90/2.91/0.27/0.50  emits 1.16  spf 13.6  z0 0.39  garr 26.0  tG 185  e2 0.25  nF 22.2  pS 0.15  ptS 0.16  fLog 0.32  pdΔ -0.3455  pkR 16.05  clip 0.20  kl +0.007 align[spf 13.3 e2 0.24 z0 0.45 n=12]
upd   28  steps   59392  sps 814  opp frzn  loss -0.038  pg -0.0351  v 0.002  ev +0.96  adv_std 0.050  tR -1.00  ent[s/d/p/e] 0.94/2.91/0.25/0.49  emits 1.35  spf 10.4  z0 0.33  garr 22.8  tG 163  e2 0.33  nF 26.1  pS 0.16  ptS 0.17  fLog 0.31  pdΔ -0.3351  pkR 17.31  clip 0.20  kl +0.006 align[spf 13.1 e2 0.24 z0 0.44 n=13]
upd   29  steps   61440  sps 838  opp rand  loss -0.063  pg -0.0601  v 0.003  ev +0.96  adv_std 0.046  tR -1.00  ent[s/d/p/e] 0.99/2.91/0.25/0.46  emits 1.44  spf 11.9  z0 0.31  garr 22.3  tG 155  e2 0.36  nF 29.1  pS 0.17  ptS 0.18  fLog 0.30  pdΔ -0.3340  pkR 16.69  clip 0.30  kl +0.013 align[spf 13.1 e2 0.24 z0 0.44 n=13]
upd   30  steps   63488  sps 862  opp rand  loss -0.118  pg -0.1167  v 0.006  ev +0.96  adv_std 0.063  tR -1.00  ent[s/d/p/e] 1.07/2.90/0.23/0.45  emits 1.56  spf 12.2  z0 0.31  garr 15.7  tG 115  e2 0.38  nF 32.5  pS 0.17  ptS 0.18  fLog 0.31  pdΔ -0.3254  pkR 15.36  clip 0.21  kl +0.007 align[spf 13.1 e2 0.24 z0 0.44 n=13]
upd   31  steps   65536  sps 885  opp frzn  loss +0.038  pg +0.0387  v 0.006  ev +0.89  adv_std 0.110  tR -0.71  ent[s/d/p/e] 0.80/2.90/0.22/0.42  emits 1.45  spf 7.7  z0 0.29  garr 9.1  tG 44  e2 0.32  nF 29.6  pS 0.12  ptS 0.13  fLog 0.28  pdΔ -0.3842  pkR 32.94  clip 0.18  kl +0.006 align[spf 12.7 e2 0.25 z0 0.43 n=14]
